;PPIND;FICE;STATE;TYPE;AVRMATH;AVRVERB;AVRCOMB;AVR_ACT;MATH_1;MATH_3;VERB_1;VERB_3;ACT_1;ACT_3;APP_REC;APP_ACC;NEW_STUD;NEW10;NEW25;FULLTIME;PARTTIME;IN_STATE;OUT_STAT;R_B_COST;ROOM;BOARD;ADD_FEE;BOOK;PERSONAL;PH_D;TERM_D;SF_RATIO;DONATE;INSTRUCT;GRADUAT;SAL_FULL;SAL_AC;SAL_AS;SAL_ALL;COMP_FUL;COMP_AC;COMP_AS;COMP_ALL;NUM_FULL;NUM_AC;NUM_AS;NUM_INS;NUM_ALL
Auburn University-Ma;1;1009;AL;I;575,000;501,000;1076,000;24,000;520,000;638,000;453,000;559,000;21,000;27,000;7548,000;6791,000;3070,000;25,000;57,000;16262,000;1716,000;2100,000;6300,000;3933,000;;;;600,000;1908,000;85,000;91,000;16,700;18,000;6642,000;69,000;580,000;437,000;374,000;455,000;692,000;527,000;451,000;546,000;366,000;354,000;301,000;66,000;1109
University of Alabam;1;1051;AL;I;;;;23,000;;;;;20,000;25,000;7593,000;5972,000;2682,000;;57,000;13780,000;1599,000;2172,000;5424,000;3530,000;1600,000;1930,000;;580,000;1654,000;80,000;91,000;17,300;29,000;6426,000;50,000;605,000;447,000;382,000;463,000;746,000;563,000;483,000;580,000;267,000;206,000;206,000;76,000;762
University of Alabam;1;1052;AL;I;;;;21,000;;;;;18,000;24,000;1797,000;1260,000;938,000;24,000;35,000;6960,000;4698,000;2220,000;4440,000;5175,000;1935,000;3240,000;291,000;750,000;2200,000;96,000;96,000;6,700;16,000;16352,000;33,000;633,000;445,000;366,000;461,000;786,000;569,000;475,000;587,000;106,000;163,000;107,000;19,000;406
University of Alaska;1;1063;AK;I;499,000;462,000;961,000;22,000;;;;;;;1852,000;1427,000;928,000;;;3885,000;4519,000;1742,000;5226,000;3590,000;1800,000;1790,000;155,000;650,000;2304,000;67,000;;10,000;8,000;11935,000;;686,000;560,000;432,000;508,000;914,000;753,000;572,000;677,000;74,000;125,000;118,000;40,000;404
Arizona State Univer;1;1081;AZ;I;521,000;453,000;974,000;23,000;450,000;590,000;390,000;500,000;20,000;25,000;12809,000;10308,000;3761,000;24,000;49,000;22593,000;7585,000;1828,000;7434,000;4850,000;;;66,000;700,000;2100,000;88,000;93,000;18,900;5,000;4602,000;48,000;603,000;449,000;399,000;489,000;723,000;549,000;489,000;593,000;576,000;445,000;251,000;7,000;1383
Northern Arizona Uni;1;1082;AZ;I;495,000;444,000;939,000;22,000;420,000;560,000;380,000;500,000;19,000;24,000;5891,000;4931,000;1973,000;23,000;48,000;11249,000;2682,000;1828,000;6746,000;3728,000;1890,000;1838,000;66,000;620,000;2342,000;78,000;83,000;21,700;7,000;6157,000;41,000;511,000;422,000;359,000;412,000;619,000;518,000;446,000;507,000;173,000;192,000;175,000;33,000;608
University of Arizon;1;1083;AZ;I;526,000;462,000;983,000;23,000;450,000;600,000;400,000;520,000;20,000;26,000;14079,000;12238,000;4529,000;29,000;57,000;21664,000;4894,000;1828,000;7434,000;4216,000;2186,000;2030,000;66,000;620,000;2550,000;91,000;95,000;19,600;;9683,000;49,000;648,000;462,000;411,000;537,000;771,000;561,000;498,000;645,000;647,000;377,000;272,000;2,000;1349
University of Arkans;1;1108;AR;I;;;;;;;;;20,000;26,000;3235,000;3108,000;2133,000;25,000;65,000;9978,000;1530,000;1932,000;5028,000;3300,000;3300,000;;122,000;500,000;2000,000;73,000;89,000;14,800;10,000;6820,000;39,000;563,000;436,000;379,000;452,000;686,000;531,000;461,000;550,000;314,000;198,000;225,000;54,000;806
California Institute;2;1131;CA;I;750,000;660,000;1410,000;;740,000;780,000;610,000;700,000;;;1916,000;507,000;210,000;98,000;;912,000;;16695,000;16695,000;5051,000;;;210,000;735,000;3466,000;;;6,500;36,000;62469,000;83,000;970,000;733,000;576,000;866,000;1204,000;909,000;717,000;1075,000;173,000;40,000;44,000;0,000;257
Stanford University ;2;1305;CA;I;736,000;665,000;1401,000;31,000;650,000;750,000;580,000;690,000;26,000;33,000;13608,000;2926,000;1616,000;88,000;97,000;6573,000;;18669,000;18669,000;6795,000;;;;840,000;1355,000;;99,000;9,700;25,000;33629,000;96,000;952,000;658,000;519,000;824,000;1144,000;814,000;653,000;1000,000;533,000;139,000;145,000;0,000;834
University of Califo;1;1312;CA;I;654,000;564,000;1218,000;;590,000;730,000;500,000;640,000;;;19873,000;8252,000;3215,000;95,000;;19532,000;2061,000;3949,000;11648,000;6246,000;;;;636,000;1933,000;93,000;97,000;15,800;10,000;13919,000;78,000;764,000;513,000;433,000;650,000;939,000;631,000;533,000;799,000;834,000;229,000;209,000;0,000;1346
University of Califo;1;1313;CA;I;585,000;485,000;1070,000;24,000;520,000;650,000;420,000;560,000;21,000;27,000;16343,000;11399,000;3124,000;95,000;;15429,000;1888,000;;7699,000;5285,000;;;4374,000;841,000;2374,000;;98,000;14,500;11,000;15873,000;76,000;683,000;478,000;404,000;561,000;840,000;588,000;496,000;689,000;535,000;190,000;234,000;0,000;1072
University of Califo;1;1314;CA;I;574,000;455,000;1029,000;;510,000;640,000;390,000;510,000;;;15698,000;10775,000;2478,000;85,000;;12677,000;864,000;4325,000;12024,000;5302,000;;;;790,000;1818,000;96,000;96,000;16,100;11,000;15934,000;66,000;708,000;488,000;423,000;574,000;870,000;599,000;520,000;705,000;319,000;161,000;138,000;0,000;673
University of Califo;1;1315;CA;I;621,000;520,000;1141,000;;558,000;700,000;460,000;590,000;;;22165,000;10435,000;3591,000;93,000;;21637,000;1255,000;;7689,000;5580,000;;;3894,000;850,000;1255,000;97,000;99,000;11,800;9,000;20260,000;77,000;741,000;497,000;421,000;609,000;910,000;611,000;517,000;748,000;817,000;267,000;298,000;0,000;1499
University of Califo;1;1316;CA;I;542,000;440,000;982,000;23,000;470,000;620,000;360,000;510,000;19,000;25,000;9798,000;7566,000;1470,000;80,000;;6922,000;265,000;;7699,000;5430,000;;;4092,000;780,000;1350,000;98,000;99,000;13,400;8,000;12528,000;62,000;670,000;461,000;390,000;514,000;824,000;567,000;479,000;632,000;183,000;80,000;140,000;0,000;441
University of Califo;1;1317;CA;I;616,000;515,000;1131,000;26,000;560,000;680,000;460,000;570,000;23,000;28,000;19433,000;11469,000;2481,000;95,000;;13738,000;711,000;;7699,000;6607,000;;;4128,000;630,000;1935,000;;;13,900;6,000;17674,000;66,000;723,000;487,000;401,000;595,000;888,000;598,000;493,000;732,000;405,000;147,000;130,000;0,000;734
University of Califo;1;1320;CA;I;547,000;459,000;1006,000;;520,000;610,000;400,000;490,000;;;16663,000;14141,000;3239,000;90,000;;15638,000;693,000;;11218,000;5990,000;;;4372,000;630,000;2045,000;96,000;;18,900;6,000;9475,000;69,000;712,000;473,000;401,000;578,000;875,000;581,000;493,000;711,000;371,000;125,000;145,000;0,000;694
University of Califo;1;1321;CA;I;554,000;505,000;1059,000;;490,000;620,000;440,000;580,000;;;10758,000;8559,000;1717,000;94,000;;8713,000;607,000;;7699,000;6081,000;6081,000;;4110,000;633,000;1191,000;94,000;;21,300;10,000;10860,000;59,000;677,000;464,000;391,000;537,000;832,000;570,000;481,000;660,000;186,000;93,000;92,000;0,000;413
University of Southe;2;1328;CA;I;592,000;498,000;1090,000;25,000;520,000;660,000;430,000;570,000;22,000;28,000;12229,000;8498,000;2477,000;45,000;71,000;13259,000;1429,000;17230,000;17230,000;6482,000;3566,000;2916,000;330,000;600,000;2210,000;90,000;94,000;11,400;10,000;17007,000;68,000;802,000;574,000;484,000;641,000;1016,000;751,000;636,000;825,000;485,000;354,000;286,000;27,000;1165
University of Northe;1;1349;CO;I;480,000;440,000;920,000;22,000;420,000;540,000;380,000;480,000;19,000;24,000;5530,000;4007,000;1697,000;12,000;37,000;8463,000;1498,000;1829,000;7731,000;4128,000;;;398,000;540,000;2286,000;75,000;75,000;21,500;8,000;6309,000;40,000;480,000;390,000;333,000;385,000;565,000;463,000;399,000;458,000;151,000;111,000;129,000;35,000;467
Colorado State Unive;1;1350;CO;I;545,000;479,000;1024,000;25,000;490,000;610,000;430,000;540,000;22,000;27,000;9478,000;6312,000;2194,000;29,000;65,000;15646,000;1829,000;2124,000;8412,000;4180,000;4180,000;;585,000;470,000;1800,000;87,000;89,000;19,200;10,000;7850,000;59,000;598,000;447,000;403,000;517,000;714,000;534,000;481,000;617,000;483,000;255,000;188,000;0,000;926
University of Colora;1;1370;CO;I;;;;;500,000;630,000;440,000;540,000;22,000;28,000;14063,000;9320,000;3436,000;28,000;65,000;18465,000;1541,000;2230,000;12563,000;3811,000;3811,000;;459,000;540,000;2319,000;90,000;90,000;19,900;;8703,000;66,000;652,000;494,000;421,000;528,000;797,000;615,000;519,000;649,000;457,000;301,000;227,000;93,000;1081
University of Denver;2;1371;CO;I;540,000;470,000;1010,000;24,000;470,000;590,000;430,000;540,000;21,000;27,000;2974,000;2001,000;580,000;29,000;60,000;2666,000;554,000;15192,000;15192,000;4695,000;4695,000;;330,000;400,000;1350,000;84,000;91,000;15,900;21,000;11762,000;67,000;623,000;479,000;430,000;509,000;756,000;588,000;525,000;620,000;142,000;106,000;101,000;6,000;378
Yale University     ;2;1426;CT;I;;;;;650,000;750,000;600,000;710,000;;;10705,000;2453,000;1317,000;95,000;99,000;5217,000;83,000;19840,000;19840,000;6510,000;3040,000;3470,000;;630,000;2115,000;96,000;96,000;5,800;49,000;40386,000;99,000;928,000;522,000;444,000;708,000;1127,000;643,000;548,000;863,000;404,000;118,000;191,000;6,000;767
University of Delawa;2;1431;DE;I;;;1035,000;;500,000;610,000;450,000;530,000;;;14446,000;10516,000;3252,000;22,000;57,000;14130,000;4522,000;3690,000;10220,000;4230,000;2280,000;1950,000;410,000;530,000;1300,000;82,000;87,000;18,300;15,000;10650,000;75,000;723,000;531,000;422,000;556,000;922,000;693,000;554,000;721,000;341,000;319,000;217,000;65,000;953
American University ;2;1434;DC;I;583,000;550,000;1133,000;;530,000;625,000;500,000;610,000;;;4613,000;3587,000;1048,000;35,000;77,000;4545,000;873,000;15934,000;15934,000;6400,000;2440,000;3960,000;210,000;450,000;800,000;;93,000;13,600;9,000;11803,000;69,000;746,000;520,000;417,000;555,000;897,000;641,000;505,000;673,000;165,000;119,000;125,000;37,000;446
Catholic University ;2;1437;DC;I;;;;;490,000;610,000;460,000;570,000;22,000;28,000;1754,000;1465,000;505,000;24,000;49,000;2159,000;211,000;13712,000;13712,000;6408,000;3622,000;2786,000;460,000;526,000;1100,000;90,000;96,000;9,300;18,000;12751,000;75,000;611,000;449,000;385,000;482,000;718,000;533,000;459,000;570,000;123,000;141,000;104,000;6,000;374
George Washington Un;2;1444;DC;I;;;;;530,000;650,000;490,000;600,000;24,000;29,000;7875,000;5062,000;1492,000;38,000;71,000;5471,000;1470,000;17450,000;17450,000;6328,000;3998,000;2330,000;720,000;700,000;950,000;92,000;93,000;7,600;15,000;14745,000;72,000;729,000;542,000;447,000;610,000;874,000;653,000;536,000;733,000;316,000;175,000;134,000;12,000;637
Georgetown Universit;2;1445;DC;I;;;;;600,000;690,000;540,000;650,000;26,000;31,000;11115,000;2881,000;1390,000;71,000;93,000;5881,000;406,000;18300,000;18300,000;7131,000;2590,000;4541,000;156,000;670,000;1700,000;91,000;92,000;7,200;27,000;19635,000;95,000;857,000;552,000;427,000;618,000;1080,000;710,000;546,000;785,000;192,000;157,000;154,000;25,000;528
Howard University   ;2;1448;DC;I;457,000;426,000;883,000;20,000;390,000;510,000;360,000;470,000;17,000;22,000;9776,000;3164,000;1666,000;;;6705,000;874,000;7128,000;7128,000;3750,000;2050,000;1700,000;615,000;300,000;;78,000;86,000;7,500;4,000;18287,000;46,000;656,000;483,000;403,000;481,000;780,000;591,000;494,000;587,000;241,000;282,000;189,000;111,000;891
Florida State Univer;1;1489;FL;I;;;;;510,000;630,000;460,000;560,000;23,000;27,000;11651,000;8683,000;3023,000;50,000;90,000;18906,000;3242,000;1780,000;6680,000;4060,000;1910,000;2150,000;;600,000;1020,000;80,000;89,000;23,100;15,000;7250,000;58,000;564,000;399,000;378,000;473,000;729,000;525,000;494,000;616,000;510,000;316,000;192,000;16,000;1038
University of Florid;1;1535;FL;I;;;;;550,000;670,000;470,000;580,000;24,000;28,000;12445,000;8836,000;3623,000;54,000;85,000;24470,000;3286,000;1820,000;7090,000;4180,000;1960,000;2220,000;;630,000;1530,000;88,000;97,000;13,400;20,000;14737,000;66,000;613,000;430,000;399,000;501,000;790,000;567,000;527,000;653,000;981,000;721,000;510,000;49,000;2261
University of Miami ;2;1536;FL;I;;;;;490,000;640,000;430,000;560,000;21,000;27,000;7122,000;5386,000;1643,000;42,000;69,000;7760,000;876,000;16500,000;16500,000;6526,000;3810,000;2716,000;180,000;630,000;1985,000;82,000;94,000;5,900;17,000;17500,000;59,000;693,000;510,000;408,000;513,000;895,000;654,000;514,000;659,000;291,000;200,000;147,000;20,000;769
University of South ;1;1537;FL;I;553,000;492,000;1045,000;23,000;500,000;610,000;430,000;550,000;20,000;25,000;7589,000;4676,000;1876,000;29,000;63,000;14770,000;10962,000;1856,000;6760,000;3776,000;1806,000;1970,000;;500,000;2180,000;84,000;89,000;17,000;7,000;11020,000;47,000;571,000;418,000;369,000;455,000;735,000;547,000;483,000;591,000;387,000;319,000;239,000;45,000;1038
Emory University    ;2;1564;GA;I;650,000;570,000;1220,000;28,000;600,000;700,000;530,000;610,000;26,000;30,000;8506,000;4168,000;1236,000;76,000;97,000;5544,000;192,000;17600,000;17600,000;6000,000;3600,000;2400,000;230,000;600,000;870,000;97,000;98,000;5,000;28,000;28457,000;96,000;796,000;547,000;451,000;608,000;972,000;686,000;567,000;753,000;203,000;177,000;161,000;8,000;549
Georgia Institute of;1;1569;GA;I;;;;;630,000;720,000;520,000;610,000;;;7837,000;4527,000;2276,000;89,000;99,000;8528,000;654,000;1899,000;6489,000;4438,000;4438,000;;444,000;795,000;1164,000;92,000;92,000;19,300;33,000;11271,000;70,000;684,000;517,000;462,000;558,000;862,000;665,000;594,000;711,000;235,000;206,000;167,000;17,000;626
Georgia State Univer;1;1574;GA;I;;;;;410,000;520,000;370,000;480,000;18,000;23,000;3793,000;2341,000;1238,000;9,000;24,000;7732,000;9054,000;2154,000;6744,000;2655,000;2655,000;;246,000;720,000;3450,000;87,000;89,000;19,000;10,000;7762,000;34,000;666,000;474,000;390,000;502,000;817,000;594,000;493,000;624,000;258,000;254,000;241,000;40,000;793
University of Georgi;1;1598;GA;I;571,000;515,000;1086,000;;520,000;640,000;470,000;570,000;;;11220,000;7871,000;3320,000;43,000;79,000;19553,000;2748,000;1899,000;5697,000;3600,000;1770,000;1830,000;453,000;525,000;1755,000;88,000;95,000;14,700;22,000;7881,000;63,000;619,000;444,000;378,000;489,000;768,000;553,000;464,000;607,000;650,000;552,000;391,000;64,000;1658
University of Hawaii;1;1610;HI;I;537,000;441,000;978,000;;470,000;600,000;380,000;500,000;;;3580,000;2603,000;1627,000;36,000;69,000;11028,000;2411,000;1460,000;4460,000;3038,000;1808,000;1230,000;97,000;687,000;1281,000;85,000;87,000;11,800;6,000;12833,000;54,000;713,000;532,000;458,000;570,000;887,000;677,000;587,000;719,000;442,000;285,000;272,000;;1099
University of Idaho ;1;1626;ID;I;517,000;463,000;980,000;23,000;420,000;580,000;390,000;530,000;19,000;25,000;3133,000;2799,000;1337,000;24,000;49,000;7242,000;1431,000;1548,000;5962,000;3540,000;;;;832,000;;82,000;95,000;13,500;18,000;8805,000;45,000;514,000;408,000;373,000;438,000;640,000;514,000;472,000;550,000;217,000;165,000;155,000;9,000;546
Illinois Institute o;2;1691;IL;I;603,000;499,000;1102,000;25,000;540,000;670,000;440,000;560,000;22,000;28,000;1756,000;1360,000;478,000;42,000;77,000;1911,000;626,000;14550,000;14550,000;4620,000;;;40,000;500,000;700,000;80,000;88,000;12,300;26,000;12851,000;56,000;680,000;480,000;452,000;512,000;836,000;606,000;558,000;636,000;93,000;81,000;73,000;11,000;287
Illinois State Unive;1;1692;IL;I;;;;22,000;;;;;19,000;25,000;8681,000;6695,000;2408,000;10,000;35,000;15701,000;1823,000;2600,000;7799,000;3403,000;3403,000;;815,000;537,000;2605,000;77,000;84,000;21,000;16,000;5569,000;54,000;548,000;436,000;373,000;460,000;638,000;514,000;445,000;541,000;289,000;187,000;244,000;0,000;720
Loyola University Ch;2;1710;IL;I;529,000;482,000;1011,000;24,000;470,000;590,000;430,000;540,000;21,000;26,000;3579,000;2959,000;868,000;25,000;55,000;5244,000;3417,000;11500,000;11500,000;5330,000;;;350,000;700,000;2000,000;94,000;95,000;6,200;15,000;13009,000;65,000;761,000;536,000;433,000;570,000;924,000;664,000;536,000;701,000;164,000;230,000;163,000;6,000;563
Northern Illinois Un;1;1737;IL;I;;;;22,000;;;;;20,000;25,000;10706,000;7219,000;2397,000;12,000;37,000;14826,000;1979,000;2600,000;7799,000;3296,000;3296,000;;950,000;470,000;1750,000;73,000;78,000;17,300;11,000;6086,000;56,000;578,000;435,000;375,000;440,000;667,000;509,000;443,000;515,000;314,000;266,000;246,000;112,000;944
Northwestern Univers;2;1739;IL;I;670,000;600,000;1270,000;29,000;610,000;720,000;540,000;640,000;27,000;31,000;12289,000;5200,000;1902,000;85,000;98,000;7450,000;45,000;16404,000;16404,000;5520,000;;;;759,000;1585,000;96,000;;6,800;25,000;26385,000;92,000;860,000;596,000;496,000;712,000;1045,000;735,000;602,000;868,000;460,000;209,000;203,000;0,000;872
Southern Illinois Un;1;1758;IL;I;;;;22,000;;;;;18,000;23,000;;;2158,000;;;16961,000;2499,000;2318,000;6953,000;3256,000;1920,000;1336,000;864,000;600,000;2608,000;71,000;;14,900;6,000;9158,000;44,000;564,000;436,000;359,000;422,000;657,000;517,000;431,000;500,000;272,000;255,000;313,000;33,000;977
University of Chicag;2;1774;IL;I;;;;;630,000;720,000;570,000;680,000;27,000;31,000;6348,000;2999,000;922,000;68,000;94,000;3340,000;39,000;18930,000;18930,000;6380,000;3070,000;3310,000;486,000;500,000;1254,000;99,000;99,000;5,300;36,000;36854,000;90,000;894,000;586,000;515,000;742,000;1104,000;724,000;636,000;916,000;467,000;138,000;161,000;36,000;802
University of Illino;1;1775;IL;I;617,000;522,000;1139,000;27,000;550,000;700,000;470,000;580,000;23,000;29,000;14939,000;11652,000;5705,000;52,000;88,000;25422,000;911,000;2760,000;7560,000;4574,000;1780,000;2794,000;920,000;500,000;1982,000;87,000;90,000;17,400;13,000;8559,000;81,000;682,000;493,000;421,000;570,000;783,000;574,000;494,000;659,000;927,000;520,000;393,000;1,000;1868
University of Illino;1;1776;IL;I;;;;21,000;;;;;18,000;23,000;8384,000;5727,000;2710,000;22,000;50,000;13518,000;2916,000;2520,000;7230,000;5088,000;3198,000;1890,000;1108,000;630,000;3228,000;82,000;84,000;10,000;6,000;13883,000;34,000;656,000;476,000;411,000;513,000;755,000;555,000;483,000;596,000;401,000;369,000;296,000;20,000;1135
Ball State Universit;1;1786;IN;I;473,000;422,000;895,000;21,000;400,000;530,000;360,000;470,000;18,000;24,000;9361,000;7910,000;3849,000;38,000;50,000;16148,000;2207,000;2864,000;7244,000;3608,000;3608,000;;;500,000;1500,000;69,000;;17,700;25,000;7449,000;51,000;517,000;410,000;332,000;384,000;666,000;537,000;438,000;501,000;297,000;160,000;350,000;155,000;965
Indiana University a;1;1809;IN;I;530,000;466,000;996,000;24,000;;;;;;;16587,000;13243,000;5873,000;25,000;72,000;24763,000;2717,000;2984,000;9766,000;3990,000;;;389,000;600,000;2000,000;77,000;88,000;21,300;24,000;8686,000;68,000;674,000;479,000;399,000;540,000;852,000;615,000;507,000;685,000;624,000;344,000;305,000;1,000;1361
Purdue University at;1;1825;IN;I;545,000;453,000;998,000;24,000;470,000;620,000;390,000;510,000;22,000;27,000;21804,000;18744,000;5874,000;29,000;60,000;26213,000;4065,000;2884,000;9556,000;3990,000;;;;570,000;1060,000;86,000;86,000;18,200;15,000;8604,000;67,000;721,000;485,000;423,000;562,000;920,000;631,000;548,000;722,000;603,000;411,000;400,000;29,000;1443
University of Notre ;2;1840;IN;I;650,000;570,000;1220,000;;620,000;720,000;540,000;640,000;;;7700,000;3700,000;1906,000;79,000;96,000;7671,000;30,000;16850,000;16850,000;4400,000;4400,000;;147,000;600,000;1350,000;96,000;92,000;13,100;46,000;13936,000;97,000;798,000;562,000;470,000;637,000;985,000;701,000;573,000;787,000;274,000;195,000;164,000;11,000;644
Iowa State Universit;1;1869;IA;I;;;;;530,000;640,000;380,000;460,000;22,000;27,000;8427,000;7424,000;3441,000;26,000;59,000;18676,000;1715,000;2291,000;7550,000;3224,000;3224,000;;162,000;640,000;2055,000;81,000;88,000;19,200;22,000;8420,000;65,000;684,000;506,000;404,000;534,000;842,000;635,000;514,000;666,000;467,000;353,000;284,000;84,000;1188
University of Iowa  ;1;1892;IA;I;;;;;;;;;22,000;27,000;9224,000;8025,000;3262,000;23,000;52,000;15412,000;2878,000;2291,000;8149,000;3423,000;;;164,000;640,000;2426,000;;98,000;13,100;37,000;12194,000;62,000;706,000;509,000;432,000;579,000;872,000;643,000;549,000;723,000;486,000;308,000;260,000;10,000;1064
Kansas State Univers;1;1928;KS;I;;;;;;;;;19,000;26,000;5880,000;4075,000;2833,000;25,000;55,000;14914,000;2246,000;1713,000;6995,000;3120,000;3120,000;;403,000;600,000;2000,000;76,000;86,000;18,500;22,000;6122,000;54,000;550,000;419,000;368,000;440,000;686,000;530,000;466,000;554,000;305,000;231,000;259,000;63,000;858
University of Kansas;1;1948;KS;I;;;;23,000;;;;;20,000;26,000;8579,000;5561,000;3681,000;25,000;50,000;17880,000;1673,000;1650,000;6994,000;3384,000;;;388,000;700,000;2681,000;88,000;94,000;13,700;17,000;9657,000;57,000;579,000;422,000;367,000;485,000;714,000;529,000;458,000;603,000;474,000;297,000;204,000;6,000;981
University of Kentuc;1;1989;KY;I;;;;25,000;;;;;21,000;26,000;7769,000;5689,000;2675,000;;;14931,000;2596,000;2160,000;6640,000;3226,000;;;330,000;450,000;1340,000;95,000;97,000;12,200;12,000;11098,000;52,000;634,000;473,000;418,000;521,000;760,000;574,000;504,000;628,000;470,000;416,000;308,000;6,000;1200
